id,text
1,i e phue hu peh e pe peh
2,m na si lan hian tai tai gi lang oh thak lian the lai kai e pian tsia ma hue hue tsit tsiong iong ji huat siunn kue i uat si tsai put kho tshu
3,hai kuan thong kue liau au tsiah khi hau ki sik sio tan si kan na u khah liong e tang khi se bian sue ke
4,tsing lang thiann han tsing li an ne kong long kuann kin tann thauu khuann suann ting tsit e khuann tak ke sim lai long am hua tsit siann gua khoo ah suann e tsiann tshiu ping ua iann kiam tsit puann khi iah
5,oo ba sang li ho li beh ai e mih kiann ti tsia
6,iau m ko u lang ui tioh ko jin e li ik lang hong siann beh lai sio tsinn
7,in na si tong suan ma e pi iau kiu si hian sing lok tui king tshai kai kio lai kong tse i king si tsit e sing li
8,an e bin a tseai kam kang khuan si tsit liap tsit kak gin nng liap nng kak gin sann liap tsiah bian tsinn leh u lang an ne m
9,ti jit pun sa ku lah khui e hit tang tsun kui phiann ang ki ki kai sui
10,bi kok kah i ang ma u tiong tong li ik pi luh i lang tsi tshi e si a bin ping
11,ling gua king ki ing bun e gi liau khoo tso tshut lai gi su tah phue kai su in at tshak tsi si tai bing su lat tshatp kuan su oh bo in ui pin lo tsin kuan tsia e gi su e gi su tah phue oo khakt lo lat loh tso pi in hoo ma long pai ti tsiann thau tsing
12,lan tsit tsun ki lok kang ai nng tiam puann tsing
13,tha loo si te ng e kak thau
14,mng kiann kuann hoo ho oo
15,siann mih thau loo e pi tsit lo khah ho
16,hit tui ang a boo oh e si tsing phaie pu lu su thiau kah tsiann ho khuann
17,phainn gin a lang u hinn bo tshui m ho oo pe mng
18,na mng kong tsue kin sua lo lai kam koe e u hong thai siong tsioh tsit si goo kang si bo khuann e lah kuan tsiong pin iu ing lai si bian uan lo
19,thing loh lai e si sim lai kam u buan tsiok e kam kak sing khu na kiann liau siunn kn
20,kho ling bo huat too tsun si si leh
21,tsit ma si guan tsu bin tsok gi ng bang bi lai kheh ka gi tai gi long u ki hu
22,koh le khi sing te ua beh loo si
23,kong ue tioh tsing king m thang hi hi tshio
24,sin niu sin niu sui tang tang khoo te e ho ho bo phua khang si long pue a phang kuan kuan kiann sun tai tai tiong tsiong guan
25,a me a si beh khi tai pak an si beh khi tai lam
26,in to si bo ting e soo phi tsia e tap pai long e lau kau mih kiann
27,thau tsing kong ui tioh pi siat leh sia heo guan na si nua thau lan to m si to leh go ah si u iann hia iau i hia e tsiong kim
28,in ui bo tshu li ham hoo sing e bun te soo i e ing thiong tioh si gbiam kiat ko e phin tsit
29,sua loh lai beh lai siau kai hue ling ki e an tsuan siat pi to sing mng ti hue ling ki e nng ping sang soo am ti thau kha ting kiu sing i ti i a kha
30,tiam tiam tit pinn a tso bo su jin
31,li tsit e lau kau li kam bo hun
32,ia gam tsioh iu huat tian kin oo phiat k te ui pu po
33,he tian tong tshia honnh tsau be tin tang in kai si bo tian a ai ka bat te li the tshut lai tshiong tian tsit e
34,kau kann iau u tsiok tse siau lian lang e tuann gi ta khi liok tsa boo gin a
35,tsit uann thoo tau khng khong ka mi i mi mi tsiann ho loh au
36,u lang te leh bo u lang tin leh bo ah
37,tse to tso sing m na si kann gak siunn kheh hui iong siunn kuan kuan li siunn khun lan nia nia tsiah tse lang khi kuainn
38, soo ni tshiu ki a kam u ho iong
39,lai hang lang o lo u hing ui gua hang e kong gua ok khia khiak
40,kau tann guan tsu bin e tang iong ka ti e bun gi sia kong bun khah sit si tsuan hing tsing gi koh tsai hua tsit tua poo
41,hngh m tsiann niau
42,lai kai jip tsoo tsi ah si tse tshai po hing
43,gun ping iu liam mi to beh lai a tsiah ma huat li theh gua io bi tsit kua mih kiann tshiann bang tsiah
44,si si giam poo soo
45,li si tui to ui tit tioh tsit tsiah ang a e
46,ho ho ho lah a biauku lan to be tsit su ho lah mai hau honnh
47,khah kong ma he
48,han tsing li tsim tsiok ka siau lian ke khuann khuann leh ka kong siau lian ne li tsai iann bo gua e inn a tsiah sann liap bian tsinn neh
49,siann mih lang kong li u tshin ba khuann e si m
50,kiann
51,oo to bai si tsiann ping siong e kau thong kang khu tsuan tai uan tshue bo lang be hiau khia o too bai e
52, tsiok tian nu e pha tsiat long si kee kin pun bo siok gua tse
53,lang gua ko sann pi giap e ing gi tsuan giap thakg nng i
54,tui pu tin lai kong tse tai piau i kiong ge tui khong bi kok ka au tsiu tit tioh sing li
55,senn ang eh kau uan si to tsit e
56,lai khui mng leh
57,tui in tshu lai tshiong kik si siann khuan in tiong kuan e jin sing beh an tsuann
58,it ting ai e lah
59,ong thai thai lin sin pu sit tsai tsin gau tsu ka kui to phang kong kong
60,tsit te phang lai te khu li mu iau koh sio sio gin a lang un ai tsiah e
61,tsu tsia e lang ka i be tsit te thoo tho hi i i hiam siunn tse thua to kuann khi hing hoo lang
62,kau a ann uann kio
63,gua ka ti lai e to e sai ah
64,gua hit tai tshia tsue kin tsiat ka sit liap thai ia tsuan poo uann kue
65,sann siu siu oo ho ki ghi khun
66,ling gua pun sit giam tshai iong kan gua e su lui kan ta hun tua lui tong su mia su hing iong su ting ting
67,m hau hah ha a
68,tsui phang be khi li kho ling ai tau tsit tai phang phu lai phang
69,tsit ma ma si kang khuan a
70,mui tsit e lang long si tok li be mun tsit e lang long u ka ti e sing gua king giam ka ti sik
71,tsu hong be tang pai tshik sin lo a si khi in thau loo e lang kong tai gi
72,lan tsap ni tsing ka jip kap liu thi oo be be mi kiann khah bo khio sue
73,bo jin ho e kuan he
74,iau m ko tai uan tian iann si gua e senn mia bo kun an tsuann gua ing guan long be hong khi
75,gua e ka a kong tshua lai khi tshai tshi a
76,e i tsinn kuai leh tue lang tsau ah
77,na tshuan khui en hiunn tong lian si he ku
78,kiong tsing khong
79,gua
80,u i guan a si u kho ling ti li khong it liok ni tsham suan tsong thong e kiong ho tong jin su
81,bo gua sit leh
82,tse tshe phainn a bin ting u sann e tsiu tsiu sann e sik tsui long bo kang
83,tsi pu ko tse kah lian bing lai te ki tha tong phai e i kian u sio khan lian
84,tshin tshiunn tinn gue pa po png ting mi tsue tsiah mi long a iong tsut bi lai tso
85,tso tsit kua sin the bo tiann e ka i e tai tsi phoo phoo khann thann tsiong i tsing gik khai sin the e giah
86,a san na pa me kue ah
87,tsio gua tsit kha su li pa phah ka tsua
88,li thau mng tshui tshiu peh lau khok khok a iau koh siunn beh ka lang tshua sui boo
89,siunn beh ka ti khuann bi ak to ai sing khi be tsit tsoo kha ho e tsip phi iu siat pi
90,tsin tsing kui kang gua kau tsing tshik e sia tiunn tai bi loo shoo tu ho ma sia bun tsiunn ki tshut tsit tsiong tso huat u tsin tse hong hiam pau kuah bo huat too ing hiong su thai e kiat ko lai po tsing bi kok e li ik sim tsi siong bue ma si tioh theh pat lang tshit kha tshng
91,soo i gua be ka li ke kau
92,phinn i hiong e sng tshoo simn liah thang huenn pang hoo tshoo tsong e u hit kang tsiong li po ji gu e bng
93,ah beh siann poo
94,an ne tso tam boo khe
95,an ne lah
96,i sing jin iau koh u tsin tng e loo ain kiann
97,goa kong li tsit e koo mng kau ah gun tua e leh ka li kong ue li tsit ma si siann thai too ah
98,un gua khiong poo to tshin tshiunn kha lin tsian si gue ji kau ti niu iok e khun n pi a tai hak tsit tiunn ian suak kong e
99,goo tiam ji e iam bi ian su tsoo
100,lai tsia pai tui honnh
101,long hoo se hong mui the khuann tso si sin tsing khuan tui gua tsing tshio kha tok lip tsiak kik e piau hian
102,lau hiann ti ah pua lo to pua loh khi ah li m thang tua sue siann
103,tan si
104,sat bak a tu liau kau tshi i gua koh u siann mih tik sik
105,i kiann kah bin sik peh sut sut
106,i ui tioh phio bang e king lian kong kong po tshuan ka si bing kui si thau tsit tshut tai uan lang hit be tua ki phinn tian iann
107,tsai tiunn e hai mi a lok tsi huai thai ko lua lo senn thau huat bue hue khau phua siunn uai ko tshi tshuah khuann tioh ua be khi ke bo phue
108,li tshiann gua bo nng pai to huan hue ah
109, sau ti tshit tsap kau hue sin koo ong sa mn kin ni tsiann gue tsiah ting ki tse ui
110,tiong koo m khing hoo bi kok a shit tshit ian kiu ke tse e penn tou sam phuluh
111,thng siunn tinn gua bo tse ji tsiah tioh li e khoo
112,sin tik tshi tsit ui goo hue e tsa poo gin a in ui ui tng iam phiak tshut tua tng phah khang king kue kin kip be tshiu sut tsiah kue bin
113,sit an tsuann in e tang khuann bian tsinn e gun be iong tsit lah
114,a peh si gua
115,ka gua tse long tse tsiah khui
116,oo m
117,ho tshiann
118,tng tang sin the huat tshut sin sit kong i i king siunn pa li suak kong m ko ken nng ko tsin sui
119,pua ko gua gue a thau ke niu si tai pak ai e i tso lang tsin ho
120, i khi a mih kiann kai ho tau bian gua ku to tau e ho
121,tsan ne kam moo a pa too li the i tshing ka
122,siunn khuann mai kong khuann mai be a kai iunn a tsha ti to
123,ting ki si kan kau a tak ke kin hi hau ki sio tsun pi ting ki tsin tsing ai sing tshuan ho hoo tsiau kah ting ki tsing tsiau sun si pai tui kiam tsa liau tsiah lai ting ki
124,a an pi a huat ke kai khiam
125,li lna koh kiam ji sann tsa phue ia honnh gua tsia pha hoo li tsiah
126,lan khun sann tsiong tsing hing lai tho lun
127,tioh a thai e u kho ling tsiah bian tsinn lah
128,li e phue hu bong khi lai iu iu iu be su na gi na leh
129,kong boo lng ku to beh khi kha tang tshiu ah
130,tshiann li ti too tsi siann liau au khai si lau ue to sia
131,lin kiam bo kong iau u si ge jit tsiu shiu kua e si kau ma gua ka lin kong gia bak khuan hng i king sik thang kua lah
132,bo lun tian si ia tian tai tak ke siann siann ku ku kam sia ui tai e bu tshin tak ke long su iau
133,ui tsit e kak too khuann tsu tong gi su tah phue thong ke pio tui su tian su tiau e siu lok e tang the kiong tsit kua kian gi
134,khi lai tsiah pong bo
135,gua kong gua e to bua ai lah
136,loo si li tsit e tua hoo tai tsiah e ka gua senn tsit e khong kiann
137,iu tong phing sian sinn iu tong ping sian sinn li na bu tng leh tshue li tshiann kau te ji kui tai sio tan to sia
138,ho
139,to tsit khuan se thau tsui siong thian jian lai be nng kuan tng khi tshi khuann mai
140,a kam ma
141,hong bun a
142,kin lai kue liau an tsuann
143,tsap ji pue a sia phua kam u iau kin
144,na si tsau kang oo e kua le to si thong koo na si khi tsia kua leh to si phiang kok tse si kang khuan bo kang sai hu tsuak tui m thang hut m tioh khi
145,li kong leh
146,tse hoo tsan se kai bing pang ka tik lin khuann tsai gkan lai u put li e ing hiong
147,sim kuann
148,tsu mue hoo gua tsiah
149,gua a put lah e ing tsit su
150,li e hak giap khai iau kin
151,ai iah m si lah
152,hua tso bu hing tshoo tshu khan ting ti tai uan hian tai si te sann tsap ji ki
153,siunn beh hoo se kai ko khah uan bi siunn beh hoo ka ting koh khah hing hok siunn beh hoo se mia koh khah tshiong sit soo i
154,kai hit tsam pi tsit tsun jit tsi ke luah hing hoo be
155,in ui hue gam tiann tiann su iau huah liau ti liau kue thing hoo i thiann tiuh tiuh
156,ho lin peh beh ka ui ui khi lai
157,ti bi koo poo ti moo tsing tsok poo tong tng iam e si tsing tshu bin tsu tong theh mia tsham suan tsong thong e
158,ti kiak lun tsok tsiah kong oo pam ma e iu tiam si i tsu tiong su iong king tse kah gua kau e lip liong
159,gua khuann be tshut lai gua sia e tsok bun si to tsit tiam bo ho
160,khui na e bo kuann e ah
161,ah i to kau hoo li tsiau koo honnh
162,tsian ping khui mng lo tshia tsin tsing tshiann tsu i tshia siunn kah gue taie tiong e phang m thang lak bue phang lin
163, tsi tso tai gi bun bun ku e hun thiah pha sinn li iong gi hua tshiu pha sin tshui kai tsin gi su tah phue e tsing khah lu
164,m sip phinn e ian guan tso khi lai ma bo kai khuai lok loo pinn e ke iu kui jit ing sian sian
165,iau kiu khah ho e sia hue tsing tshik
166,gun kiann tshing ai sat st e looh e kam e sai hoo gun tshi tshing
167,tsiong giap soo kam hik po ju si tong king ik kiap kiu tshut bu i tshu kai huai sian ha n
168,kah hue a li u iann tsiok sui e lioo gun long tsiok him sian tiok kai i liooh pun tong sann khui tshui ka o loh
169,ah lim me gua thoo lui si li long lioh gua e neh
170,i tsa e too sang kai u tsun giam ka tsit ma e bo siann kang khuan
171,u ki hue e ti lak gue te i tsing tat sing hiap i
172,tiann tiann lok loh khi tshan te
173,m bian bua hiap penn
174,a peh
175,teh sann tso si hioh khun
176,kam koh khi lai na e u tam po a iu tshiu guan lai khuai lok e guan in m si tso siann mih tai tsi
177,e khi tshit tioh lang e i su
178,hai ang tai gi bun hak gue khan te tsit pah khong ji ki
179,li kiann loo nai kuai kuai kam si khi uai tioh
180,i koh sia kong tng tso phai ti tsuan se kai si khi khuan ui kau ting iu koh kong ue u siann
181,mai an ne lah
182,sap bakg a ti tsa tsing si siann mih khuan lang leh tsia e
183,i tsing li tai gi su lui tsong si tse si tua kang ting ma su iau siong se e tui ue
184,thau ke a m thang lah
185,li tsa khi si a pin tuan khi lai khi hue
186,a tsit nia iunn tsong tsiok sui e
187,si tsi e sim kha kam e tang tsha ti sann tsi e tshiu ki a lai bin
188, sun le sit sin bun bang tsam e phing lun ka tsin biau poo i lin ui tsin nu si tai i gi
189,siong bue hi phinn sua hi e thau tsing tsit puann si ji khong khong pat ni sia e tu tu si to tng tshu pan hi tsit tang
190,lak bi lai hong hiong
191,ooh sui ia bai
192,ping siong si khang khue tso kah puann me tsiah png kuan si na pue tian nau
193,ho un lah
194,li kam u ing thang ka gua tau siau kai tsit e lan khi siong su si e a si to tsit siang
195,beh iong ing bun kah lang koo thong e si tsun li iong tsia e gi su tau tshut tsit ku lan liah tso e thong e ing bun ku m koh kong ing gi e lang kho ling sa bo niau an mng
196,thann kai tshu huai tsuan ki i thann hong te tsong phoo sat pon guan king
197,thinn khi tua kuann a tha tsit nia oo ba kha ho
198,ti leh koo tsa si tsun pian tong long e kap tsit liap mue a ka tsit teh thak khu ang
199,gua piann tioh tsun pi tai sing tshiang kui ki tsing lang thiann hun bing su au bo inn tin
200,lip khi
201,tng lai ah
202, kik hua tui khong e bok tik ki sit si po tsing i ka ti tsiang ak kok ka e khuan lik
203,kin leh kin leh ah ha puah lo khi ah
204,bian koh pian han kah ni te li tsinn tu hainn ua lah
205,ti hia khuann e lang iah si sam sang mboo ngoo tshinn tshinn tsng tsng
206,gua u khuann tioh
207,peh pah khong lak phinn ia gam tsio iu huat tian kin oo pheh ka te ui put po
208,tsit e ki khi lang e thit thi e st si iong e tsitshi a sit ah si tha khoo pthong tshu tso e
209,tshin tshiunn han lo poo hun e ong lai am phue tsu pun ing kai si tsit e su
210,i si tsit e tsin loo si le sian sinn lang
211,bo ka li phian thui a me tshait kue poo si tsai u kau ho iong e lah na tsun kong li u su iau honnh e tang ui gua tsia the kui te a tng khi lu khuann mai
212,li ka sing ua e tiong sim khng ti to ui bo tai tsi thang tso e si li kam e khang hi tsit e lang e si
213,tak ke tsiah tue gua lai sann lau tshut king tua thiann pan li ting ki tshiu siok than the hing li thok un
214,tshiann mng e te to tsit ku e kong huat lan tai gi be an ne kong
215,e sai tsio tsinn a si be sai
216,bu ah li khuann leh tsiok sui tsiok koo tsui e iunn tson ne lang beh ti tsit su lah tsau gin a ki tui po le tu lai te
217,sit leh ooh
218,li tsit e ho me meh
219,a tsi lang kheh kheh khi khi
220,hann
221,ji tsun phoo lan theh lai lia siu khi e tsiau a
222,thau ke gua nau u hiah san at sut e gua na tshing e lueh
223,mai an ne bo tai bo tsi to ka lang phng
224,i kai piak kian siau tai i sing kau ke kinm kong tong kui lo ik e po hiam kim hoo phian liau liau
225,mh
226,be li siunn kheh khi lah
227,tue put tsu lah pua m tsai to lo tioh sit tioh li honnh soo hue a tsiann se ji an ne kah in
228,kin a tsit e ting hun to honnh kam e sai tshiann li the gua ka tsit kua tong tshong an lai khi in e ui a ho bo
229,na bian siong ban to u tsinn gua sui si thau loo
230,tu tsia kong hng lai u tsian tse lang ti hiah sng phoo khe mng
231,an ne siu kai u e bo bun te poo hun kho ling u bun te
232,au piah na bo lo ui hue ka pthiann tiau leh tho tioh biau khu e tsiu kiakp hok bu tiong sim kam kann an ne lua bu
233,i ka te sann liap inn a ma tsiah tsia loh khi na tsia ko na o lo kong ua a gua tsu tshut si kau tann m bat tsiah kue tsit a ni phang e inn a neh
234,li tso ho e phi pi thi sing kia tsit hun hoo gua phinn phang tsit e ho bo
235,a tsue pe a sang hoo gua sann tsap pau thng a
236,gua hiong i suat bing hit kiann tai tsi
237,sian se i tsit kui kang liam mi hua kuann liami hua lua kam e si tioh ma la ti a
238,ai siong sin ka ti it ting phann e tioh lang ping iu
239,e tsai a u lang khah tian ue lai kong tsiann mi tsit ko ue ti liam lai lu tse si pi loo tshiau kue tsit tshing khoo to sang ho khang
240,in kin lai tsiah png lah
241,tsiu hoo gua ko lin kui pue ah ho bo
242,tsan sing tsia o lo i kiann bu si loo suann m koh kiong ho tong ti kok hue ka te tse
243,hiong hiong u tsit e lang ka i ioh tsing sin i bak tsiu niah kim khuann tioh tsit e bin tshiunn tsiok bai e tsap poo lang tsiann tua siann ka hua
244,hun be put tshinn gun tsa boo kiann na u ban it khuann li be iong siann mih lai pue gua
245,li kam giau ko u ki tha e hong huat lai tsoo tong siu huat
246,kiam piann tsiah ka khann khann kio
247,i tshit tshit tshng tshng teh hau li kam long bo thiann e
248,tak ke long kau a lan lai khi thing tshia tiunn tsiunn tshia
249,kiann bi kok i buang kiann ua sau u ti kho ka ti bi kauk tsue kin kah i lang kai sian kua he i king in khi tsit
250,i khenn kui puann poo long khinn bo tham
251,siag khi tau the tsit ki phian tsi lai ka tin a giap hoo khui
252,phenn siu lang beh sue si m
253,li tshiu ng lik khi lai sun suan ka li pong hui kak
254,ah gua koh lai tsiau hoo lang kheh lah honnh
255,gua hoo li long lue lah
256,khang ke a lai king to tsit e suan hang siong tho tong
257,li sing khiann tshut khi tan khe ting a
258,a lak a phah be kgua
259,a li tsa hng to kio gua khi be tsit kua liau gua khi huan hu lah
260,kuan ho ka ki e tai tsi to ho lan bo tsai tiau kuan pat lang e ing a tai
261,na si e pi tiann tiann sing tui tshut hian m ko e au piah e tsiap pi i gua e su bi thau tsing ma kho ling e tsiap e i gua e su
262,eh kau thong hia ni bo hong ban
263,tuan si tai pak hiah ni hok tsap li tshu tshu tioh ai khah se li leh
264,iu un gian tai han ki sut hak inn tsu sin kang ting he tsoo li kau siu
265,tshu lai e khang khue takp tap ti tih tak hang long ai gua tso na  tso e liau
266,kiu kong ni tai hua bun e tsu liau khoo ma khai si ti tai uan tiong kok ting soo tsai kian lip
267,tshiu lai theh hit tiunn phue tsua na thak bak sai na thok ti
268,tiam tiam
269,tsau kha e thai lu i king pit khui ah ai khah tian ue kio sai hu lai uann
270,kuann lai khi tian iann inn
271,in e pokt buan koh kah lai tsu san tsia e tsng kha e pu buan hue hap tui sia hue un ting tso sing thiau tse
272,tah bong si tshiu na siong sui e si tsun bong tsiong it tshe khoo tso tsit hue bo gua bo li
273,ing am gua tsiah kah li lian loo
274,tsiah bo huan ging lin lah
275,eh
276,honnh lai lai lai than sio tsia than sio tsiah
277,tsit uann png ling ling
278,thiann kong gin a lang khoo u a khah gau tua
279,gua tsit ma tiam tit le a tsiunn peh e tshu u ing tsiah lai tse lah
280,e ah tsa long ka ting ting khi lai
281,phang koh tua liap e inn a ooh tsit liap tsit ka gin nng lip nng kah gin sann liap tsiah bian tsinn ooh huah be siann khi pin tsit kua a kiann loo lang e tsu ui
282,kue hai kuan tsin tsing u tsui ah si pak khuan tshiau kue tsit pah si si e ik the long ai to tiau u lai ta to a a si pak e ui kim phin ne tshiann tsu tong tan tiau be sai tsa ti sing khu ting
283,nng e lang hiah ni ho suah kiann kau bue bo ua kho ai tshin tshiunn sap bun phue tsing hun na e tsiah ni po
284,thoo kha tu jiu ho ku liu siu tioh se ji liau liau a kiann
285,si la gun tsai ia m tioh ah lah
286,tsit e u thiann sim e a in koh ka in ting se sing khu tsit pai phak ta liau au the uat tau ka u ka tshiunn sin ne kang khuan tsing tsha sik tsui u khah sit
287,a lim pe a m ho ah lah lin tsa boo kgiann ui tsinn a tsang ting puah loh lai
288,ui tioh siau loo tshi tiunn tua lat thui sak kik tuan e siau hui tsu gi hoo lang tsit si a to sui tiau ti bo pit iau e khai siau
289,tsit hang tshai lai te u tsham le bong tiom le bong bi tsin kau tsin phang
290,hau tiunn siann mih tai tsi
291,sann tap hue i au to tso sian na sioo m bian tsiah png a hiooh
292,li sing kiann tshut khi tan ke ting a
293,pio it ka iam ai ka si a thau tsing sann tsap tsit pah goo pah tsit tshing sann tshing goo tshing e kiong tong su tsoo e soo liong leh tshut lai han lo kah tsuan lo hun khui sng thai tho lun tsit e su tsoo ti iam ai kah si a nng e thong ke pio long u tshut hian
294,pe khi li khuann mai
295,bo khuann e khai kue sim
296,sun sun leh
297,li hi lo ga su kam u kuann u kga su bi tsau tshut lai
298,in ui sian pi oo too bai suah tsing tioh ang moo thoo hoo nua kiau tshia e tshia thau thap o tsit e tsin giam tiong
299,kio siann mih mia
300,li khuann mui tsu oo tsiah gau khinn ke tsit ma tsing hui tsiah bat tai tsi gua tui tan ka u kau tai ah lah
301,lan si pai kui beh phue bong
302,bo lun lu ho li gua i king tsit tui ho tsing phuann
303,kue lai tsit si a lah
304,lai tse lai tse
305,sin lun te tshiann kai sue tsok tsiah e soo kong lu sing m si tshut si to tsiann tso lu sing si hong kau iok tso lu sing e tsit ku ue i hamm tsap un
306,oo poo a tsit e tua mng honnh koh ka ting khah kuan le
307,ho i iau na si huat sio tshiau kuat nng kang tioh ai sui lai kiam tsa oo
308,ah sui kam moo a pai tsok li the i tshing ka
309,aih ioh
310,heh heh
311,i tsiok gau kah lang kau pue
312,hun lin kuan koo khenn hiong inn khuan pinn a to u tsit king sann tsap ni kiunn bo a lau tiap
313,li tioh ai khun kun hoo pah
314,m thang tsha i
315,gun tsiunn si kan tan e pe tshoo ka suan giong
316,lin nng e ti hia si si su sut si te kong siannh
317,li siann mih si tsun beh tng khi tai pak
318,hi ok hok e pi uan sio i phi ok hok e sing phi ok h pi soo i ia ai ook pk e pi si hu soo
319,eh ah li tsiah kau go kai mia lah ah lin be kio to tsioh a kau lah
320,ma ma bo pe thiann li
321,tong sing hun hap phua hua koh lai khuann o tsiu
322,a ha ha ah tiong peh a tsing peh
323,tshian pa lah si gun a kong khah tsa siong ai khuann e hi
324,tsit e ah si hit le
325,gua e sim
326,tli tioh ka png tsia hoo liau
327,li lai kau koo bio e ka lai
328,a pah mai e pha au pai m ka
329,gua khuann tioh ti a
330,kh ga lin pe tiam leh kong
331,suann ting long tah bu peh bong bong siann mih long khuann bo
332,he thai e sai gua iau be tsiah tioh neh u lang bo huann hi leh tua siann huah
333,ke lang bio khau e thian pu la siong u mia
334,ho a inn a i king tsiah liau a kin a jit to kau tsia ui tsi looh han tsing li an ne ka tak kte kong
335,li iong i e kua siann ka hian a bi miau e suan lut ka ping an ham hing hok thuan tat tshut khi
336,si tsap si phinn sin ho lam jin bo beh tau siann uann tsi i ma ma e kamong
337,tsit siang bue a
338,tiau tai ka ti e tsu tiunn tshu bi a si kong tsit kua tshio khue
339,in tau e tiang hue long ua e loo i ti e ke tsiann kng e
340,tioh ai pe bu tsu hun ai u jin ke e lang kai siau tui hong tsa poo ah m tsai him a hoo lua luang kau
341,a bu gua ia m si sann hue gin a na e be hong si m
342,tsiok se lang leh io a lak a e ti siann mih si tsun to tann
343,gua e sing khuann lah
344,o tsiu kok hue bat ti ji khong it ji ni piau kuat tong sing hun hak huat hua e gi te tsan sing phai su ka thng khoo
345,lai tshiunn kua
346,gua thai ai li soo i tsiah tsiah ni tshong pong
